Date,Price,Open,High,Low,Vol.
27-11-2024,24278.2,24235.4,24353.6,24146.6,295010000
26-11-2024,24194.5,24343.3,24343.3,24125.4,230690000
25-11-2024,24221.9,24253.55,24351.55,24135.45,687170000
22-11-2024,23907.25,23411.8,23956.1,23359,367560000
21-11-2024,23349.9,23488.45,23507.3,23263.15,420330000
19-11-2024,23518.5,23529.55,23780.65,23464.8,297480000
18-11-2024,23453.8,23605.3,23606.8,23350.4,263310000
14-11-2024,23532.7,23542.15,23675.9,23484.15,257710000
13-11-2024,23559.05,23822.45,23873.6,23509.6,304570000
12-11-2024,23883.45,24225.8,24242,23839.15,255830000
11-11-2024,24141.3,24087.25,24336.8,24004.6,273370000
08-11-2024,24148.2,24207.7,24276.15,24066.65,298720000
07-11-2024,24199.35,24489.6,24503.35,24179.05,322190000
06-11-2024,24484.05,24308.75,24537.6,24204.05,351080000
05-11-2024,24213.3,23916.5,24229.05,23842.75,289510000
04-11-2024,23995.35,24315.75,24316.75,23816.15,285530000
01-11-2024,24304.35,24302.75,24368.25,24280.2,38810000
31-10-2024,24205.35,24349.85,24372.45,24172.6,287010000
30-10-2024,24340.85,24371.45,24498.2,24307.3,285200000
29-10-2024,24466.85,24328.85,24484.5,24140.85,332040000
28-10-2024,24339.15,24251.1,24492.6,24134.9,278560000
25-10-2024,24180.8,24418.05,24440.25,24073.9,372640000
24-10-2024,24399.4,24412.7,24480.65,24341.2,216690000
23-10-2024,24435.5,24378.15,24604.25,24378.1,284560000
22-10-2024,24472.1,24798.65,24882,24445.8,279480000
21-10-2024,24781.1,24956.15,24978.3,24679.6,241980000
18-10-2024,24854.05,24664.95,24886.2,24567.65,290860000
17-10-2024,24749.85,25027.4,25029.5,24728.9,252760000
16-10-2024,24971.3,25008.55,25093.4,24908.45,226770000
15-10-2024,25057.35,25186.3,25212.05,25008.15,257230000
14-10-2024,25127.95,25023.45,25159.75,25017.5,206420000
11-10-2024,24964.25,24985.3,25028.65,24920.05,210460000
10-10-2024,24998.45,25067.05,25134.05,24979.4,261360000
09-10-2024,24981.95,25065.8,25234.05,24947.7,290560000
08-10-2024,25013.15,24832.2,25044,24756.8,333220000
07-10-2024,24795.75,25084.1,25143,24694.35,374350000
04-10-2024,25014.6,25181.9,25485.05,24966.8,374920000
03-10-2024,25250.1,25452.85,25639.45,25230.3,423400000
01-10-2024,25796.9,25788.45,25907.6,25739.2,247420000
30-09-2024,25810.85,26061.3,26134.7,25794.1,343060000
27-09-2024,26178.95,26248.25,26277.35,26151.4,490330000
26-09-2024,26216.05,26005.4,26250.9,25998.4,370900000
25-09-2024,26004.15,25899.45,26032.8,25871.35,278540000
24-09-2024,25940.4,25921.45,26011.55,25886.85,384120000
23-09-2024,25939.05,25872.55,25956,25847.35,209190000
20-09-2024,25790.95,25525.95,25849.25,25426.6,533070000
19-09-2024,25415.8,25487.05,25611.95,25376.05,314460000
18-09-2024,25377.55,25402.4,25482.2,25285.55,215730000
17-09-2024,25418.55,25416.9,25441.65,25352.25,215960000
16-09-2024,25383.75,25406.65,25445.7,25336.2,168700000
13-09-2024,25356.5,25430.45,25430.5,25292.45,250780000
12-09-2024,25388.9,25059.65,25433.35,24941.45,380070000
11-09-2024,24918.45,25034,25113.7,24885.15,279230000
10-09-2024,25041.1,24999.4,25130.5,24896.8,251280000
09-09-2024,24936.4,24823.4,24957.5,24753.15,254370000
06-09-2024,24852.15,25093.7,25168.75,24801.3,311670000
05-09-2024,25145.1,25250.5,25275.45,25127.75,222240000
04-09-2024,25198.7,25089.95,25216,25083.8,253790000
03-09-2024,25279.85,25313.4,25321.7,25235.8,212130000
02-09-2024,25278.7,25333.6,25333.65,25235.5,222820000
30-08-2024,25235.9,25249.7,25268.35,25199.4,638170000
29-08-2024,25151.95,25035.3,25192.9,24998.5,353990000
28-08-2024,25052.35,25030.8,25129.6,24964.65,220420000
