Date,Price,Open,High,Low,Vol.
01-11-2024,24278.2,24302.75,24537.6,23264.15,5240000000
01-10-2024,24205.35,25788.45,25907.6,24073.9,6330000000
01-09-2024,25810.85,25333.6,26277.35,24753.15,6160000000
01-08-2024,25235.9,25030.95,25268.35,23893.7,6330000000
01-07-2024,24951.15,23992.95,24999.75,23992.7,7090000000
01-06-2024,24010.6,23337.9,24174,21281.45,7750000000
01-05-2024,22530.7,22567.85,23110.8,21821.05,6710000000
01-04-2024,22604.85,22455,22783.35,21777.65,6280000000
01-03-2024,22326.9,22048.3,22526.6,21710.2,6740000000
01-02-2024,21982.8,21780.65,22297.5,21530.2,6730000000
01-01-2024,21725.7,21727.75,22124.15,21137.2,6820000000
01-12-2023,21731.4,20194.1,21801.45,20183.7,6120000000
01-11-2023,20133.15,19064.05,20158.7,18973.7,4420000000
01-10-2023,19079.6,19622.4,19849.75,18837.85,4250000000
01-09-2023,19638.3,19258.15,20222.45,19255.7,5670000000
01-08-2023,19253.8,19784,19795.6,19223.65,6250000000
01-07-2023,19753.8,19246.5,19991.85,19234.4,5800000000
01-06-2023,19189.05,18579.4,19201.7,18464.55,5140000000
01-05-2023,18534.4,18124.8,18662.45,18042.4,5740000000
01-04-2023,18065,17427.95,18089.15,17312.75,4460000000
01-03-2023,17359.75,17360.1,17799.95,16828.35,5620000000
01-02-2023,17303.95,17811.6,18134.75,17255.2,5690000000
01-01-2023,17662.15,18131.7,18251.95,17405.55,5630000000
01-12-2022,18105.3,18871.95,18887.6,17774.25,4740000000
01-11-2022,18758.35,18130.7,18816.05,17959.2,5260000000
01-10-2022,18012.2,17102.1,18022.8,16855.55,4540000000
01-09-2022,17094.35,17485.7,18096.15,16747.7,6900000000
01-08-2022,17759.3,17243.2,17992.2,17154.8,5590000000
01-07-2022,17158.25,15703.7,17172.8,15511.05,5480000000
01-06-2022,15780.25,16594.4,16793.85,15183.4,5510000000
01-05-2022,16584.55,16924.45,17132.85,15735.75,6340000000
01-04-2022,17102.55,17436.9,18114.65,16824.7,5660000000
01-03-2022,17464.75,16593.1,17559.8,15671.45,7960000000
01-02-2022,16793.9,17529.45,17794.6,16203.25,5620000000
01-01-2022,17339.85,17387.15,18350.95,16836.8,5440000000
01-12-2021,17354.05,17104.4,17639.5,16410.2,5500000000
01-11-2021,16983.2,17783.15,18210.15,16782.4,5850000000
01-10-2021,17671.65,17531.9,18604.45,17452.9,7650000000
01-09-2021,17618.15,17185.6,17947.65,17055.05,6960000000
01-08-2021,17132.2,15874.9,17153.5,15834.65,6350000000
01-07-2021,15763.05,15755.05,15962.25,15513.45,6000000000
01-06-2021,15721.5,15629.65,15915.65,15450.9,8080000000
01-05-2021,15582.8,14481.05,15606.35,14416.25,10270000000
01-04-2021,14631.1,14798.4,15044.35,14151.4,9640000000
01-03-2021,14690.7,14702.5,15336.3,14264.4,11360000000
01-02-2021,14529.15,13758.6,15431.75,13661.75,14310000000
01-01-2021,13634.6,13996.1,14753.55,13596.75,13020000000
01-12-2020,13981.75,13062.2,14024.85,12962.8,12080000000
01-11-2020,12968.95,11697.35,13145.85,11557.4,13110000000
01-10-2020,11642.4,11364.45,12025.45,11347.05,11600000000
01-09-2020,11247.55,11464.3,11618.1,10790.2,13450000000
01-08-2020,11387.5,11057.55,11794.25,10882.25,14040000000
01-07-2020,11073.45,10323.8,11341.4,10299.6,14640000000
01-06-2020,10302.1,9726.85,10553.15,9544.35,16780000000
01-05-2020,9580.3,9533.5,9598.85,8806.75,13680000000
01-04-2020,9859.9,8584.1,9889.05,8055.8,12740000000
01-03-2020,8597.75,11387.35,11433,7511.1,21300000000
01-02-2020,11201.75,11939,12246.7,11175.05,11190000000
01-01-2020,11962.1,12202.15,12430.5,11929.6,11930000000
01-12-2019,12168.45,12137.05,12293.9,11832.3,12550000000
01-11-2019,12056.05,11886.6,12158.8,11802.65,13180000000
01-10-2019,11877.45,11515.4,11945,11090.15,15620000000
01-09-2019,11474.45,10960.95,11694.85,10670.25,12210000000
01-08-2019,11023.25,11060.2,11181.45,10637.15,11150000000
01-07-2019,11118,11839.9,11981.75,10999.4,9990000000
01-06-2019,11788.85,11953.75,12103.05,11625.1,6790000000
01-05-2019,11922.8,11725.55,12041.15,11108.3,8650000000
01-04-2019,11748.15,11665.2,11856.15,11549.1,6520000000
01-03-2019,11623.9,10842.65,11630.35,10817,6860000000
01-02-2019,10792.5,10851.35,11118.1,10585.65,7460000000
01-01-2019,10830.95,10881.7,10987.45,10583.65,7430000000
01-12-2018,10862.55,10930.7,10985.15,10333.85,6740000000
01-11-2018,10876.75,10441.7,10922.45,10341.9,6790000000
01-10-2018,10386.6,10930.9,11035.65,10004.55,8140000000
01-09-2018,10930.45,11751.8,11751.8,10850.3,6030000000
01-08-2018,11680.5,11359.8,11760.2,11234.95,5410000000
01-07-2018,11356.5,10732.35,11366,10604.65,5290000000
01-06-2018,10714.3,10738.45,10893.25,10550.9,4830000000
01-05-2018,10736.15,10783.85,10929.2,10417.8,5500000000
01-04-2018,10739.35,10151.65,10759,10111.3,4950000000
01-03-2018,10113.7,10479.95,10525.5,9951.9,4520000000
01-02-2018,10492.85,11044.55,11117.35,10276.3,4530000000
01-01-2018,11027.7,10531.7,11171.55,10404.65,4840000000
01-12-2017,10530.7,10263.7,10552.4,10033.35,3610000000
01-11-2017,10226.55,10390.35,10490.45,10094,4790000000
01-10-2017,10335.3,9893.3,10384.5,9831.05,4640000000
01-09-2017,9788.6,9937.65,10178.95,9687.55,4290000000
01-08-2017,9917.9,10101.05,10137.85,9685.55,4300000000
01-07-2017,10077.1,9587.95,10114.85,9543.55,3850000000
01-06-2017,9520.9,9603.55,9709.3,9448.75,3670000000
01-05-2017,9621.25,9339.85,9649.6,9269.9,4680000000
01-04-2017,9304.05,9220.6,9367.15,9075.15,3150000000
01-03-2017,9173.75,8904.4,9218.4,8860.1,4980000000
01-02-2017,8879.6,8570.35,8982.15,8537.5,4530000000
01-01-2017,8561.3,8210.1,8672.7,8133.8,4130000000
01-12-2016,8185.8,8244,8274.95,7893.8,3220000000
01-11-2016,8224.5,8653.15,8669.6,7916.4,4730000000
01-10-2016,8625.7,8666.15,8806.95,8506.15,3420000000
01-09-2016,8611.15,8793.6,8968.7,8555.2,4020000000
01-08-2016,8786.2,8654.3,8819.2,8518.15,4220000000
01-07-2016,8638.5,8313.05,8674.7,8287.55,3420000000
01-06-2016,8287.75,8179.2,8308.15,7927.05,4320000000
01-05-2016,8160.1,7822.7,8213.6,7678.35,4500000000
01-04-2016,7849.8,7718.05,7992,7516.85,3650000000
01-03-2016,7738.4,7038.25,7777.6,7035.1,4960000000
01-02-2016,6987.05,7589.5,7600.45,6825.8,5330000000
01-01-2016,7563.55,7938.45,7972.55,7241.5,3960000000
01-12-2015,7946.35,7958.15,7979.3,7551.05,3120000000
01-11-2015,7935.25,8054.55,8116.1,7714.15,3160000000
01-10-2015,8065.8,7992.05,8336.3,7930.65,3470000000
01-09-2015,7948.9,7907.95,8055,7539.5,3540000000
01-08-2015,7971.3,8510.65,8621.55,7667.25,4060000000
01-07-2015,8532.85,8376.25,8654.75,8315.4,3190000000
01-06-2015,8368.5,8417.25,8467.15,7940.3,3250000000
01-05-2015,8433.65,8230.05,8489.55,7997.15,3490000000
01-04-2015,8181.5,8483.7,8844.8,8144.75,3370000000
01-03-2015,8491,8953.85,9119.2,8269.15,3840000000
01-02-2015,8901.85,8802.5,8941.1,8470.5,3780000000
01-01-2015,8808.9,8272.8,8996.6,8065.45,3490000000
01-12-2014,8282.7,8605.1,8626.95,7961.35,3150000000
01-11-2014,8588.25,8348.15,8617,8290.25,2700000000
01-10-2014,8322.2,7960.5,8330.75,7723.85,2700000000
01-09-2014,7964.8,7990.35,8180.2,7841.8,2930000000
01-08-2014,7954.35,7662.5,7968.25,7540.1,2480000000
01-07-2014,7721.3,7629,7840.95,7422.15,3320000000
01-06-2014,7611.35,7264.05,7700.05,7239.5,3620000000
01-05-2014,7229.95,6709.95,7563.5,6638.55,4280000000
01-04-2014,6696.4,6729.5,6869.85,6650.4,2670000000
01-03-2014,6704.2,6264.35,6730.05,6212.25,3860000000
01-02-2014,6276.95,6058.8,6282.7,5933.3,2800000000
01-01-2014,6089.5,6323.8,6358.3,6027.25,3350000000
