Date,Price,Open,High,Low,Vol.
01-01-2024,23605.73,23487.83,24000.64,22657.76,6561818182
01-01-2023,18975.36,18717.06,19329.98,18418.15,5399166667
01-01-2022,17329.47,17250.23,17894.53,16538.16,5753333333
01-01-2021,15942.68,15716.78,16467.12,15382.51,8749166667
01-01-2020,11150.46,11028.55,11675.1,10405.16,13878333333
01-01-2019,11535.4,11443.36,11749.33,11108.39,9867500000
01-01-2018,10826.45,10823.12,11101.43,10423.59,5630833333
01-01-2017,9661.417,9501.904,9788.192,9350.021,4218333333
01-01-2016,8138.208,8134.2,8339.871,7825.158,4145833333
01-01-2015,8298.821,8329.9979,8551.783,7967.108,3480000000
01-01-2014,7453.496,7295.504,7589.046,7123.396,3155000000
